tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt4637704	tvEpisode	A Questionable Friendship (Ryan vs Ken ALPHA EXTEND!)	A Questionable Friendship (Ryan vs Ken ALPHA EXTEND!)	0	2015	\N	\N	Comedy
tt2139623	video	Barefoot Confidential 66	Barefoot Confidential 66	1	2010	\N	\N	Adult
tt0795105	tvSeries	Ex Wives Club	Ex Wives Club	0	2005	\N	60	Reality-TV
tt3713042	short	The Persistence of Memory	The Persistence of Memory	0	2014	\N	20	Drama,Short
tt9501550	short	Sniper	Sniper	0	2016	\N	4	Action,Short
tt5244694	tvEpisode	Drew Shannon	Drew Shannon	0	2015	\N	\N	\N
tt10692308	tvEpisode	An Evening with Joan Sutherland & Luciano Pavarotti	An Evening with Joan Sutherland & Luciano Pavarotti	0	1987	\N	114	Music
tt5485820	tvEpisode	Episode #12.143	Episode #12.143	0	2016	\N	\N	News
tt3417346	tvEpisode	Singing in Greek	Singing in Greek	0	2010	\N	\N	Game-Show,Music,Reality-TV
tt5602494	tvEpisode	The Cover	The Cover	0	2016	\N	\N	Comedy
tt0626530	tvEpisode	Episode dated 5 April 2002	Episode dated 5 April 2002	0	2002	\N	\N	Comedy,Talk-Show
tt11853778	movie	Big Smooth	Big Smooth	0	\N	\N	\N	Documentary
tt12126852	tvEpisode	Episode #1.2	Episode #1.2	0	2019	\N	\N	Action
tt6486338	tvEpisode	More Food, Less Water	More Food, Less Water	0	2017	\N	\N	Documentary
tt3942524	tvEpisode	Episode #1.7733	Episode #1.7733	0	\N	\N	\N	News
tt0803842	tvEpisode	68'ernes børn	68'ernes børn	0	1999	\N	\N	Documentary,History
tt9814172	tvEpisode	Episode #1.59	Episode #1.59	0	2010	\N	\N	Family
tt8304898	tvEpisode	GUESS THAT SONG CHALLENGE #14 (ft. FBE STAFF)	GUESS THAT SONG CHALLENGE #14 (ft. FBE STAFF)	0	2018	\N	\N	\N
tt6258084	movie	Eye of Noor	Eye of Noor	0	2017	\N	\N	\N
tt10134544	tvEpisode	Festejar	Festejar	0	2016	\N	\N	Documentary
tt0423345	tvSeries	Telltale	Telltale	0	1993	\N	60	Thriller
tt4774132	tvMovie	The Vatican: Saints	The Vatican: Saints	0	2015	\N	\N	Documentary
tt0674741	tvEpisode	This Little Piggy	This Little Piggy	0	1995	\N	\N	Crime,Drama,Family
